Auction No,Issue date,Amount offered in Auction,Total bids (Competitive & Uncompetitive), Over/(Under) Subscribed ,   Face Value ,   Cost Value ,   Interest due , Date due,Duration,Implicit annual,Clearing ,Lowest Factor ,Weighted Average Price,Average Discount Factor,Money Market yield,Annualised , Rejected Amount ,Bid-to-cover
,-1, (1a) , (1b) ,,-2,-3,-4,-5,-6,-9,-10,-11,-12,-13,,,,
649,11-Oct-06,"5,000,000,000","10,754,000,000","5,754,000,000","5,000,000,000","4,750,182,660","249,817,340",26-Apr-07,182,,,,95.004,10.02,,10.547,"1,801",
650,25-Oct-06,"9,000,000,000","11,412,500,000","2,412,500,000","9,000,000,000","8,545,124,716","454,875,284",01-Jul-00,182,,,,94.946,10.136,,10.676,"1,778",
,,,,,,,,,,,,,,,,,,
651,08-Nov-06,"12,000,000,000","9,919,900,000","-2,080,100,000","9,919,900,000","9,403,222,998","516,677,002",24-May-07,182,,,,94.792,10.446,,11.324,"1,719",
653,22-Nov-06,"10,000,000,000","25,183,100,000","15,183,100,000","10,000,000,000","9,485,970,290","514,029,710",01-Jul-00,182,,,,94.86,10.309,,11.164,"1,745",
,,,,,,,,,,,,,,,,,,
655,06-Dec-06,"12,000,000,000","21,959,900,000","9,959,900,000","12,000,000,000","11,391,310,500","608,689,500",21-Jun-07,182,,,,94.928,10.173,,11.004,"1,771",
656,20-Dec-06,"14,000,000,000","16,242,000,000","2,242,000,000","14,000,000,000","13,266,690,116","733,309,884",01-Jul-00,182,,,,94.762,10.505,,11.393,"1,709",
,,,,,,,,,,,,,,,,,,
657,03-Jan-07,"14,000,000,000","16,408,600,000","2,408,600,000","14,000,000,000","13,218,883,676","781,116,324",19-Jul-07,182,,,,94.421,11.189,,12.203,"1,592",
658,17-Jan-07,"9,000,000,000","6,931,800,000","-2,068,200,000","6,658,800,000","6,260,783,077","398,016,923",02-Aug-07,182,,,,94.023,11.987,,13.157,"1,472",
659,31-Jan-07,"10,000,000,000","21,494,600,000","11,494,600,000","10,000,000,000","9,420,721,110","579,278,890",01-Jul-00,182,,,,94.207,11.617,,12.713,"1,526",
,,,,,,,,,,,,,,,,,,
661,14-Feb-07,"10,000,000,000","23,124,100,000","13,124,100,000","10,000,000,000","9,442,627,014","557,372,986",30-Aug-07,182,,,,94.426,11.178,,12.189,"1,594",
662,28-Feb-07,"20,000,000,000","26,095,700,000","6,095,700,000","20,000,000,000","18,903,021,941","1,096,978,059",01-Jul-00,182,,,,94.515,11,,11.978,"1,623",
,,,,,,,,,,,,,,,,,,
663,14-Mar-07,"20,000,000,000","29,394,600,000","9,394,600,000","20,000,000,000","18,906,516,029","1,093,483,971",19-Sep-07,182,,,,94.533,10.965,,11.936,"1,628",
665,20-Mar-07,"9,000,000,000","9,000,000,000", -   ,"9,000,000,000","8,507,970,000","492,030,000",27-Sep-07,182,,,,94.533,10.964,,11.935,"1,629",
666,28-Mar-07,"20,000,000,000","39,195,200,000","19,195,200,000","20,000,000,000","18,920,308,948","1,079,691,052",01-Jul-00,182,,,,94.602,10.827,,11.773,"1,652",
,,,,,,,,,,,,,,,,,,
667,11-Apr-07,"20,000,000,000","24,343,000,000","4,343,000,000","20,000,000,000","18,924,378,430","1,075,621,570",25-Oct-07,182,,,,94.622,10.786,,11.725,"1,659",
668,25-Apr-07,"20,000,000,000","17,865,100,000","-2,134,900,000","17,865,100,000","16,885,907,378","979,192,622",01-Jul-00,182,,,,94.519,10.992,,11.969,"1,624",
,,,,,,,,,,,,,,,,,,
671,09-May-07,"20,000,000,000","29,622,100,000","9,622,100,000","20,000,000,000","18,902,888,419","1,097,111,581",22-Nov-07,182,,,,94.514,11.001,,11.979,"1,622",
675,23-May-07,"20,000,000,000","26,375,300,000","6,375,300,000","20,000,000,000","18,895,317,044","1,104,682,956",30-Nov-07,182,,,,94.477,11.077,,12.069,"1,610",
676,31-May-07,"20,000,000,000","11,423,200,000","-8,576,800,000","11,423,200,000","10,766,564,336","656,635,664",01-Jul-00,182,,,,94.252,11.528,,12.606,"1,539",
,,,,,,,,,,,,,,,,,,
677,06-Jun-07,"20,000,000,000","8,291,900,000","-11,708,100,000","8,291,900,000","7,797,695,753","494,204,247",20-Dec-07,182,,,,94.04,11.953,,13.116,"1,477",
678,20-Jun-07,"15,000,000,000","8,885,300,000","-6,114,700,000","7,485,300,000","7,005,320,263","479,979,737",01-Jul-00,182,,,,93.588,12.86,,14.214,"1,359",
,,,,,,,,,,,,,,,,,,
683,01-Aug-07,"15,000,000,000","8,202,400,000","-6,797,600,000","8,202,400,000","7,803,761,497","398,638,503",14-Feb-08,182,,,,95.14,9.747,,10.508,"1,857",
686,15-Aug-07,"15,000,000,000","38,417,800,000","23,417,800,000","15,000,000,000","14,289,250,462","710,749,538",28-Feb-08,182,,,,95.262,9.503,,10.225,"1,910",
687,29-Aug-07,"17,000,000,000","25,457,000,000","8,457,000,000","17,000,000,000","16,189,470,434","810,529,566",01-Jul-00,182,,,,95.232,9.562,,10.293,"1,897",
,,,,,"32,000,000,000","30,478,720,896",,,,,,,,,,,,
688,12-Sep-07,"17,000,000,000","29,282,500,000","12,282,500,000","17,000,000,000","16,188,031,195","811,968,805",27-Mar-08,182,,,,95.224,9.579,,10.313,"1,893",
689,26-Sep-07,"17,000,000,000","39,404,100,000","22,404,100,000","17,000,000,000","16,184,892,205","815,107,795",01-Jul-00,182,,,,95.205,9.616,,10.356,"1,885",
,,,,,,,,,,,,,,,,,,
690,10-Oct-07,"17,000,000,000","18,721,100,000","1,721,100,000","17,000,000,000","16,161,154,443","838,845,557",24-Apr-08,182,,,,95.066,9.896,,10.681,"1,826",
691,24-Oct-07,"17,000,000,000","20,210,000,000","3,210,000,000","17,000,000,000","16,122,296,599","877,703,401",01-Jul-00,182,,,,94.837,10.354,,11.217,"1,736",
,,,,,,,,,,,,,,,,,,
692,07-Nov-07,"17,000,000,000","38,750,700,000","21,750,700,000","17,000,000,000","16,131,826,180","868,173,820",22-May-08,182,,,,94.893,10.242,,11.085,"1,758",
694,21-Nov-07,"18,000,000,000","28,222,900,000","10,222,900,000","18,000,000,000","17,073,942,418","926,057,582",01-Jul-00,182,,,,94.855,10.318,,11.174,"1,743",
,,,,,,,,,,,,,,,,,,
696,05-Dec-07,"18,000,000,000","32,743,100,000","14,743,100,000","18,000,000,000","17,027,890,748","972,109,252",20-Jun-08,182,,,,94.599,10.831,,11.778,"1,651",
697,20-Dec-07,"17,000,000,000","26,879,900,000","9,879,900,000","17,000,000,000","16,064,331,539","935,668,461",01-Jul-00,182,,,,94.496,11.038,,12.023,"1,616",
,,,,,,,,,,,,,,,,,,
698,02-Jan-08,"10,000,000,000","18,770,300,000","8,770,300,000","10,000,000,000","9,413,050,996","586,949,004",01-Jul-00,182,,,,94.131,11.771,,12.897,"1,503",
,,,,,,,,,,,,,,,,,,
700,13-Feb-08,"23,000,000,000","41,074,700,000","18,074,700,000","23,000,000,000","21,697,956,805","1,302,043,195",21-Aug-08,182,,,,94.339,11.353,,12.398,"1,566",
701,20-Feb-08,"23,000,000,000","31,041,500,000","8,041,500,000","23,000,000,000","21,733,412,810","1,266,587,190",28-Aug-08,182,,,,94.493,11.044,,12.03,"1,615",
702,27-Feb-08,"23,000,000,000","45,390,000,000","22,390,000,000","23,000,000,000","21,710,707,300","1,289,292,700",01-Jul-00,182,,,,94.394,11.242,,12.265,"1,583",
,,,,,,,,,,,,,,,,,,
703,12-Mar-08,"23,000,000,000","17,676,800,000","-5,323,200,000","17,676,800,000","16,678,465,005","998,334,995",25-Sep-08,182,,,,94.352,11.326,,12.366,"1,570",
705,26-Mar-08,"23,000,000,000","45,185,300,000","22,185,300,000","23,000,000,000","21,685,966,347","1,314,033,653",01-Jul-00,182,,,,94.287,11.458,,12.522,"1,550",
,,,,,,,,,,,,,,,,,,
706,09-Apr-08,"23,000,000,000","17,452,400,000","-5,547,600,000","17,452,400,000","16,378,383,992","1,074,016,008",23-Oct-08,182,,,,93.846,12.342,,13.585,"1,424",
707,23-Apr-08,"14,000,000,000","46,020,200,000","32,020,200,000","14,000,000,000","13,097,323,654","902,676,346",01-Jul-00,182,,,,93.552,12.931,,14.301,"1,350",
,,,,,,,,,,,,,,,,,,
708,07-May-08,"23,000,000,000","68,794,800,000","45,794,800,000","23,000,000,000","21,531,821,555","1,468,178,445",20-Nov-08,182,,,,93.617,12.802,,14.144,"1,366",
800,21-May-08,"24,000,000,000","50,240,200,000","26,240,200,000","24,000,000,000","22,467,126,123","1,532,873,877",01-Jul-00,182,,,,93.613,12.809,,14.152,"1,365",
,,,,,,,,,,,,,,,,,,
710,04-Jun-08,"24,000,000,000","36,846,500,000","12,846,500,000","24,000,000,000","22,455,441,365","1,544,558,635",18-Dec-08,182,,,,93.564,12.907,,14.272,"1,353",
711,18-Jun-08,"24,000,000,000","15,778,600,000","-8,221,400,000","11,103,500,000","10,374,784,863","728,715,137",01-Jul-00,182,,,,93.437,13.162,,14.584,"1,323",
,,,,,,,,,,,,,,,,,,
712,02-Jul-08,"15,000,000,000","25,358,900,000","10,358,900,000","15,000,000,000","14,042,808,742","957,191,258",01-Jul-00,182,,,,93.619,12.798,,14.138,"1,367",
,,,,,,,,,,,,,,,,,,
716,13-Aug-08,"15,000,000,000","61,170,600,000","46,170,600,000","15,000,000,000","14,095,451,656","904,548,344",26-Feb-09,182,,,,93.97,12.094,,13.285,"1,458",
717,27-Aug-08,"20,000,000,000","39,239,700,000","19,239,700,000","20,000,000,000","18,775,997,476","1,224,002,524",12-Mar-09,182,,,,93.88,12.274,,13.502,"1,433",
718,10-Sep-08,"20,000,000,000","24,895,000,000","4,895,000,000","20,000,000,000","18,769,373,406","1,230,626,594",26-Mar-09,182,,,,93.847,12.34,,13.583,"1,425",
719,24-Sep-08,"20,000,000,000","41,263,600,000","21,263,600,000","20,000,000,000","18,769,700,930","1,230,299,070",01-Jul-00,182,,,,93.849,12.337,,13.579,"1,425",
,,,,,,,,,,,,,,,,,,
720,08-Oct-08,"15,000,000,000","24,772,900,000","9,772,900,000","15,000,000,000","14,084,923,205","915,076,795",23-Apr-09,182,,,,93.899,12.235,,13.455,"1,439",
721,22-Oct-08,"20,000,000,000","3,092,200,000","-16,907,800,000","3,092,200,000","2,886,111,810","206,088,190",01-Jul-00,182,,,,93.335,13.366,,14.835,"1,300",
,,,,,,,,,,,,,,,,,,
722,05-Nov-08,"25,000,000,000","15,935,500,000","-9,064,500,000","10,735,500,000","10,034,494,155","701,005,845",21-May-09,182,,,,93.47,13.095,,14.502,"1,331",
724,19-Nov-08,"15,000,000,000","26,454,900,000","11,454,900,000","10,329,900,000","9,629,150,274","700,749,726",01-Jul-00,182,,,,93.216,13.605,,15.129,"1,274",
,,,,,,,,,,,,,,,,,,
726,03-Dec-08,"15,000,000,000","38,576,200,000","23,576,200,000","15,000,000,000","13,965,019,828","1,034,980,172",18-Jun-09,182,,,,93.1,13.838,,15.417,"1,249",
727,17-Dec-08,"15,000,000,000","25,313,700,000","10,313,700,000","15,000,000,000","13,944,208,555","1,055,791,445",02-Jul-09,182,,,,92.961,14.116,,15.763,"1,220",
728,31-Dec-08,"20,000,000,000","9,944,800,000","-10,055,200,000","5,142,600,000","4,766,707,366","375,892,634",30-Jun-00,182,,,,92.691,14.659,,16.442,"1,168",
,,,,,,,,,,,,,,,,,,
729,11-Feb-09,"15,000,000,000","33,847,000,000","18,847,000,000","15,000,000","4,880,443,184","-4,865,443,184",01-Jul-00,182,,,,32536.288,-65050.797,,-99.999,-201,
,,,,,,,,,,,,,,,,,,
731,11-Mar-09,"15,000,000,000","69,555,600,000","54,555,600,000","15,000,000,000","14,167,832,213","832,167,787",24-Sep-09,182,,,,94.452,11.126,,12.127,"1,602",
732,25-Mar-09,"15,000,000,000","86,859,700,000","71,859,700,000","15,000,000,000","14,291,471,456","708,528,544",01-Jul-00,182,,,,95.276,9.473,,10.19,"1,917",
,,,,,,,,,,,,,,,,,,
734,08-Apr-09,"15,000,000,000","60,624,500,000","45,624,500,000","15,000,000,000","14,344,464,736","655,535,264",22-Oct-09,182,,,,95.63,8.764,,9.376,"2,088",
738,22-Apr-09,"15,000,000,000","37,706,600,000","22,706,600,000","15,000,000,000","14,346,062,978","653,937,022",01-Jul-00,182,,,,95.64,8.743,,9.351,"2,093",
,,,,,,,,,,,,,,,,,,
739,06-May-09,"18,000,000,000","44,502,500,000","26,502,500,000","18,000,000,000","17,179,088,329","820,911,671",19-Nov-09,182,,,,95.439,9.146,,9.814,"1,992",
742,20-May-09,"17,000,000,000","32,021,800,000","15,021,800,000","17,000,000,000","16,171,060,920","828,939,080",19-Nov-09,182,,,,95.124,9.779,,10.545,"1,850",
,,,,,,,,,,,,,,,,,#DIV/0!,
743,04-Jun-09,"17,000,000,000","30,316,300,000","13,316,300,000","17,000,000,000","16,168,514,863","831,485,137",03-Dec-09,182,,,,95.109,9.809,,10.58,"1,844",
745,17-Jun-09,"17,000,000,000","19,180,700,000","2,180,700,000","14,580,700,000","13,839,024,921","741,675,079",17-Dec-09,182,,,,94.913,10.201,,11.038,"1,765",
,,,,,,,,,,,,,,,,,,
746,01-Jul-09,"17,000,000,000","12,995,100,000","-4,004,900,000","10,095,100,000","9,556,485,233","538,614,767",14-Jan-10,182,,,,94.665,10.7,,11.624,"1,674",
747,15-Jul-09,"17,000,000,000","30,114,600,000","13,114,600,000","17,000,000,000","16,086,939,370","913,060,630",28-Jan-10,182,,,,94.629,10.771,,11.708,"1,661",
748,29-Jul-09,"10,000,000,000","19,237,000,000","9,237,000,000","10,000,000,000","9,462,799,910","537,200,090",28-Jan-10,182,,,,94.628,10.774,,11.71,"1,661",
,,,,,,,,,,,,,,,,,,
750,12-Aug-09,"10,000,000,000","20,342,800,000","10,342,800,000","10,000,000,000","9,470,361,262","529,638,738",11-Feb-10,182,,,,94.704,10.622,,11.531,"1,688",
751,26-Aug-09,"15,000,000,000","31,114,800,000","16,114,800,000","15,000,000,000","14,214,654,310","785,345,690",25-Feb-10,182,,,,94.764,10.5,,11.388,"1,709",
,,,,,,,,,,,,,,,,,,
752,09-Sep-09,"30,000,000,000","49,598,000,000","19,598,000,000","30,000,000,000","28,451,544,124","1,548,455,876",11-Mar-10,182,,,,94.838,10.351,,11.213,"1,737",
753,23-Sep-09,"20,000,000,000","47,767,600,000","27,767,600,000","20,000,000,000","18,984,599,842","1,015,400,158",25-Mar-10,182,,,,94.923,10.182,,11.015,"1,769",
,,,,,,,,,,,,,,,,,,
754,07-Oct-09,"15,000,000,000","49,210,500,000","34,210,500,000","15,000,000,000","14,287,500,000","712,500,000",22-Apr-10,182,,,,95.25,9.526,,10.252,"1,905",
755,21-Oct-09,"20,000,000,000","49,475,100,000","29,475,100,000","20,000,000,000","19,078,882,634","921,117,366",01-Jul-00,182,,,,95.394,9.236,,9.917,"1,971",
,,,,,,,,,,,,,,,,,,
757,04-Nov-09,"20,000,000,000","38,658,300,000","18,658,300,000","20,000,000,000","19,084,794,574","915,205,426",20-May-10,182,,,,95.424,9.177,,9.849,"1,985",
758,18-Nov-09,"15,000,000,000","69,376,300,000","54,376,300,000","15,000,000,000","14,339,207,524","660,792,476",01-Jul-00,182,,,,95.595,8.835,,9.456,"2,069",
,,,,,,,,,,,,,,,,,,
760,03-Dec-09,"12,000,000,000","62,294,000,000","50,294,000,000","12,000,000,000","11,494,446,310","505,553,690",01-Jul-00,182,,,,95.787,8.449,,9.016,"2,173",
,,,,,,,,,,,,,,,,,,
761,16-Dec-09,"12,000,000,000","54,431,200,000","42,431,200,000","12,000,000,000","11,529,878,854","470,121,146",01-Jul-00,182,,,,96.082,7.857,,8.345,"2,352",
,,,,,,,,,,,,,,,,,,
762,30-Dec-09,"15,000,000,000","65,683,700,000","50,683,700,000","15,000,000,000","14,464,181,176","535,818,824",01-Jul-00,182,,,,96.428,7.164,,7.568,"2,599",
,,,,,,,,,,,,,,,,,,
763,13-Jan-10,"12,000,000,000","38,274,700,000","26,274,700,000","12,000,000,000","11,627,520,000","372,480,000",01-Jul-00,182,,,,96.896,6.225,,6.528,"3,021",
,,,,,,,,,,,,,,,,,,
764,27-Jan-10,"12,000,000,000","44,396,800,000","32,396,800,000","12,000,000,000","11,662,129,159","337,870,841",29-Jul-10,182,,,,97.184,5.647,,5.895,"3,351",
,,,,,,,,,,,,,,,,,,
766,10-Feb-10,"12,000,000,000","42,092,300,000","30,092,300,000","12,000,000,000","11,690,755,806","309,244,194",12-Aug-10,182,,,,97.423,5.168,,5.375,"3,680",
,,,,,,,,,,,,,,,,,,
767,24-Feb-10,"12,000,000,000","48,406,500,000","36,406,500,000","12,000,000,000","10,910,689,032","1,089,310,968",26-Aug-10,182,,,,90.922,18.205,,21.028,901,
,,,,,,,,,,,,,,,,,,
768,10-Mar-10,"20,000,000,000","51,035,100,000","31,035,100,000","20,000,000,000","19,573,079,505","426,920,495",09-Sep-10,182,,,,97.865,4.281,,4.422,"4,484",
,,,,,,,,,,,,,,,,,,
769,24-Mar-10,"20,000,000,000","54,623,200,000","34,623,200,000","20,000,000,000","19,555,773,198","444,226,802",23-Sep-10,182,,,,97.779,4.454,,4.608,"4,302",
,,,,,,,,,,,,,,,,,,
771,07-Apr-10,"25,000,000,000","50,467,700,000","25,467,700,000","25,000,000,000","24,363,555,298","636,444,702",07-Oct-10,182,,,,97.454,5.106,,5.308,"3,728",
,,,,,,,,,,,,,,,,,,
772,21-Apr-10,"25,000,000,000","47,859,800,000","22,859,800,000","25,000,000,000","24,316,454,958","683,545,042",21-Oct-10,182,,,,97.266,5.483,,5.717,"3,457",
,,,,,,,,,,,,,,,,,,
774,05-May-10,"25,000,000,000","55,806,300,000","30,806,300,000","25,000,000,000","24,315,065,111","684,934,889",01-Jul-00,182,,,,97.26,5.495,,5.729,"3,449",
,,,,,,,,,,,,,,,,,,
775,19-May-10,"25,000,000,000","58,372,200,000","33,372,200,000","25,000,000,000","24,315,616,840","684,383,160",18-Nov-10,182,,,,97.262,5.49,,5.725,"3,452",
,,,,,,,,,,,,,,,,,,
776,02-Jun-10,"30,000,000,000","67,685,200,000","37,685,200,000","30,000,000,000","29,170,997,628","829,002,372",02-Dec-10,182,,,,97.237,5.542,,5.781,"3,418",
,,,,,,,,,,,,,,,,,,
777,16-Jun-10,"30,000,000,000","59,884,300,000","29,884,300,000","30,000,000,000","29,167,411,255","832,588,745",16-Dec-10,182,,,,97.225,5.566,,5.807,"3,403",
,,,,,,,,,,,,,,,,,,
778,30-Jun-10,"30,000,000,000","56,490,600,000","26,490,600,000","30,000,000,000","29,199,945,245","800,054,755",29-Dec-10,182,,,,97.333,5.348,,5.571,"3,549",
,,,,,,,,,,,,,,,,,,
779,14-Jul-10,"25,000,000,000","73,804,500,000","48,804,500,000","25,000,000,000","24,425,316,028","574,683,972",13-Jan-11,182,,,,97.701,4.61,,4.774,"4,150",
,,,,,,,,,,,,,,,,,,
781,28-Jul-10,"25,000,000,000","40,504,500,000","15,504,500,000","25,000,000,000","24,405,820,011","594,179,989",27-Jan-11,182,,,,97.623,4.766,,4.942,"4,007",
,,,,,,,,,,,,,,,,,,
784,12-Aug-10,"30,000,000,000","54,341,400,000","24,341,400,000","30,000,000,000","29,243,674,630","756,325,370",10-Feb-11,182,,,,97.479,5.056,,5.254,"3,766",
,,,,,,,,,,,,,,,,,,
785,25-Aug-10,"30,000,000,000","55,805,900,000","25,805,900,000","30,000,000,000","29,217,071,604","782,928,396",24-Feb-11,182,,,,97.39,5.234,,5.447,"3,631",
,,,,,,,,,,,,,,,,,,
786,08-Sep-10,"30,000,000,000","54,173,800,000","24,173,800,000","30,000,000,000","29,198,948,216","801,051,784",10-Mar-11,182,,,,97.33,5.355,,5.578,"3,545",
,,,,,,,,,,,,,,,,,,
788,22-Sep-10,"30,000,000,000","46,558,100,000","16,558,100,000","30,000,000,000","29,165,894,789","834,105,211",24-Mar-11,182,,,,97.22,5.576,,5.818,"3,396",
,,,,,,,,,,,,,,,,,,
789,06-Oct-10,"30,000,000,000","32,806,500,000","2,806,500,000","30,000,000,000","29,071,487,710","928,512,290",07-Apr-11,182,,,,96.905,6.207,,6.508,"3,030",
,,,,,,,,,,,,,,,,,,
792,20-Oct-10,"25,000,000,000","41,467,400,000","16,467,400,000","25,000,000,000","24,115,959,920","884,040,080",21-Apr-11,182,,,,96.464,7.092,,7.487,"2,627",
,,,,,,,,,,,,,,,,,,
793,03-Nov-10,"20,000,000,000","36,358,800,000","16,358,800,000","20,000,000,000","19,274,069,154","725,930,846",01-Jul-00,182,,,,96.37,7.279,,7.696,"2,555",
,,,,,,,,,,,,,,,,,,
794,17-Nov-10,"30,000,000,000","44,690,100,000","14,690,100,000","30,000,000,000","28,819,085,974","1,180,914,026",01-Jul-00,182,,,,96.064,7.894,,8.387,"2,340",
,,,,,,,,,,,,,,,,,,
795,01-Dec-10,"20,000,000,000","49,122,000,000","29,122,000,000","20,000,000,000","19,168,074,350","831,925,650",02-Jun-11,182,,,,95.84,8.342,,8.894,"2,204",
,,,,,,,,,,,,,,,,,,
799,15-Dec-10,"20,000,000,000","59,959,800,000","39,959,800,000","20,000,000,000","19,143,466,695","856,533,305",16-Jun-11,182,,,,95.717,8.589,,9.175,"2,134",
,,,,,,,,,,,,,,,,,,
802,29-Dec-10,"30,000,000,000","58,958,000,000","28,958,000,000","30,000,000,000","28,699,514,465","1,300,485,535",30-Jun-11,182,,,,95.665,8.694,,9.295,"2,106",
,,,,,,,,,,,,,,,,,,
803,12-Jan-11,"30,000,000,000","56,803,900,000","26,803,900,000","30,000,000,000","28,669,565,215","1,330,434,785",14-Jul-11,182,,,,95.565,8.894,,9.524,"2,054",
,,,,,,,,,,,,,,,,,,
804,27-Jan-11,"20,000,000,000","33,378,800,000","13,378,800,000","6,478,800,000","6,175,075,306","303,724,694",29-Jul-11,182,,,,95.312,9.402,,10.108,"1,933",
,,,,,,,,,,,,,,,,,,
807,09-Feb-11,"20,000,000,000","40,819,800,000","20,819,800,000","20,000,000,000","19,021,239,564","978,760,436",11-Aug-11,182,,,,95.106,9.814,,10.586,"1,843",
,,,,,,,,,,,,,,,,,,
808,24-Feb-11,"10,000,000,000","47,112,000,000","37,112,000,000","10,000,000,000","9,529,868,838","470,131,162",26-Aug-11,182,,,,95.299,9.428,,10.139,"1,927",
,,,,,,,,,,,,,,,,,,
809,09-Mar-11,"25,000,000,000","65,396,400,000","40,396,400,000","25,000,000,000","23,836,347,716","1,163,652,284",08-Sep-11,182,,,,95.345,9.335,,10.031,"1,948",
,,,,,,,,,,,,,,,,,,
810,23-Mar-11,"25,000,000,000","43,751,100,000","18,751,100,000","25,000,000,000","23,857,892,231","1,142,107,769",22-Sep-11,182,,,,95.432,9.162,,9.832,"1,988",
,,,,,,,,,,,,,,,,,,
812,06-Apr-11,"30,000,000,000","40,001,300,000","10,001,300,000","30,000,000,000","28,566,671,585","1,433,328,415",06-Oct-11,182,,,,95.222,9.582,,10.316,"1,892",
,,,,,,,,,,,,,,,,,,
813,20-Apr-11,"30,000,000,000","47,726,800,000","17,726,800,000","19,026,800,000","18,037,016,318","989,783,682",20-Oct-11,182,,,,94.798,10.433,,11.309,"1,722",
,,,,,,,,,,,,,,,,,,
814,04-May-11,"25,000,000,000","49,618,900,000","24,618,900,000","25,000,000,000","23,642,096,742","1,357,903,258",03-Nov-11,182,,,,94.568,10.893,,11.851,"1,641",
,,,,,,,,,,,,,,,,,,
815,18-May-11,"25,000,000,000","47,263,100,000","22,263,100,000","25,000,000,000","23,608,025,170","1,391,974,830",17-Nov-11,182,,,,94.432,11.166,,12.175,"1,595",
,,,,,,,,,,,,,,,,,,
818,01-Jun-11,"25,000,000,000","27,312,400,000","2,312,400,000","25,000,000,000","23,579,547,729","1,420,452,271",01-Dec-11,182,,,,94.318,11.395,,12.447,"1,559",
,,,,,,,,,,,,,,,,,,
819,15-Jun-11,"30,000,000,000","75,999,000,000","45,999,000,000","30,000,000,000","28,191,657,780","1,808,342,220",15-Dec-11,182,,,,93.972,12.089,,13.279,"1,458",
,,,,,,,,,,,,,,,,,,
820,29-Jun-11,"30,000,000,000","23,927,800,000","-6,072,200,000","13,527,800,000","12,669,612,474","858,187,526",29-Dec-11,182,,,,93.656,12.723,,14.047,"1,376",
,,,,,,,,,,,,,,,,,,
821,13-Jul-11,"20,000,000,000","17,627,400,000","-2,372,600,000","3,157,400,000","2,942,612,345","214,787,655",12-Jan-12,182,,,,93.197,13.643,,15.176,"1,269",
,,,,,,,,,,,,,,,,,,
822,27-Jul-11,"20,000,000,000","40,956,400,000","20,956,400,000","20,000,000,000","18,674,278,043","1,325,721,957",26-Jan-12,182,,,,93.371,13.294,,14.746,"1,308",
,,,,,,,,,,,,,,,,,,
823,10-Aug-11,"25,000,000,000","46,780,100,000","21,780,100,000","25,000,000,000","23,243,703,422","1,756,296,578",09-Feb-12,182,,,,92.975,14.089,,15.729,"1,223",
,,,,,,,,,,,,,,,,,,
824,24-Aug-11,"25,000,000,000","23,758,000,000","-1,242,000,000","6,658,000,000","6,170,391,589","487,608,411",23-Feb-12,182,,,,92.676,14.688,,16.478,"1,165",
,,,,,,,,,,,,,,,,,,
825,07-Sep-11,"20,000,000,000","18,404,100,000","-1,595,900,000","5,904,100,000","5,441,748,967","462,351,033",08-Mar-12,182,,,,92.169,15.705,,17.767,"1,076",
,,,,,,,,,,,,,,,,,,
826,21-Sep-11,"20,000,000,000","28,264,000,000","8,264,000,000","11,864,000,000","10,899,940,948","964,059,052",22-Mar-12,182,,,,91.874,16.296,,18.527,"1,030",
,,,,,,,,,,,,,,,,,,
827,05-Oct-11,"20,000,000,000","15,385,800,000","-4,614,200,000","15,285,800,000","13,812,946,284","1,472,853,716",05-Apr-12,182,,,,90.365,19.324,,22.531,837,
,,,,,,,,,,,,,,,,,,
829,19-Oct-11,"20,000,000,000","47,982,500,000","27,982,500,000","20,000,000,000","18,162,880,148","1,837,119,852",19-Apr-12,182,,,,90.814,18.422,,21.317,888,
,,,,,,,,,,,,,,,,,,
830,03-Nov-11,"30,000,000,000","40,506,200,000","10,506,200,000","30,000,000,000","27,047,713,027","2,952,286,973",04-May-12,182,,,,90.159,19.736,,23.092,816,
,,,,,,,,,,,,,,,,,,
832,16-Nov-11,"20,000,000,000","43,776,200,000","23,776,200,000","20,000,000,000","17,986,782,393","2,013,217,607",17-May-12,182,,,,89.934,20.187,,23.71,793,
,,,,,,,,,,,,,,,,,,
833,30-Nov-11,"20,000,000,000","36,972,500,000","16,972,500,000","20,000,000,000","17,946,769,053","2,053,230,947",31-May-12,182,,,,89.734,20.589,,24.264,774,
,,,,,,,,,,,,,,,,,,
835,14-Dec-11,"15,000,000,000","29,491,200,000","14,491,200,000","15,000,000,000","13,504,608,792","1,495,391,208",14-Jun-12,182,,,,90.031,19.993,,23.444,803,
,,,,,,,,,,,,,,,,,,
836,28-Dec-11,"15,000,000,000","35,208,700,000","20,208,700,000","15,000,000,000","13,494,203,411","1,505,796,589",28-Jun-12,182,,,,89.961,20.132,,23.635,796,
,,,,,,,,,,,,,,,,,,
837,11-Jan-12,"20,000,000,000","22,609,600,000","2,609,600,000","17,209,600,000","15,442,442,351","1,767,157,649",12-Jul-12,182,,,,89.732,20.593,,24.271,773,
,,,,,,,,,,,,,,,,,,
838,25-Jan-12,"15,000,000,000","32,051,500,000","17,051,500,000","7,851,500,000","7,014,915,710","836,584,290",26-Jul-12,182,,,,89.345,21.369,,25.351,738,
,,,,,,,,,,,,,,,,,,
840,08-Feb-12,"20,000,000,000","35,684,700,000","15,684,700,000","20,000,000,000","18,281,572,890","1,718,427,110",09-Aug-12,182,,,,91.408,17.231,,19.742,963,
,,,,,,,,,,,,,,,,,,
