Auction No,Issue date,Amount offered in Auction,Total bids (Competitive & Uncompetitive), Over/(Under) Subscribed ,   Face Value ,   Cost Value ,   Interest due , Date due,Duration,Implicit annual,Clearing ,Lowest Factor ,Weighted Average Price,Average Discount Factor,Money Market yield,Annualised , Rejected Amount ,Bid-to-cover
,-1, (1a) , (1b) ,,-2,-3,-4,-5,-6,-9,-10,-11,-12,-13,,,,
548,08-Jan-03,"4,000,000,000","4,258,500,000","258,500,000","4,000,000,000","3,662,323,730","337,676,270",10-Jul-03,182,,,,91.558,16.93,,18.491,984,
549,15-Jan-03,"3,500,000,000","3,500,000,000", -   ,"3,500,000,000","3,192,947,500","307,052,500",17-Jul-03,182,,,,91.227,17.594,,19.286,939,
550,22-Jan-03,"3,000,000,000","4,803,100,000","1,803,100,000","3,000,000,000","2,760,192,768","239,807,232",24-Jul-03,182,,,,92.006,16.031,,17.424,"1,050",
551,29-Jan-03,"2,000,000,000","4,395,700,000","2,395,700,000","2,000,000,000","1,849,883,710","150,116,290",31-Jul-03,182,,,,92.494,15.053,,16.274,"1,132",
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
552,05-Feb-03,"2,000,000,000","4,378,900,000","2,378,900,000","2,000,000,000","1,855,476,529","144,523,471",07-Aug-03,182,,,,92.774,14.492,,15.621,"1,183",
553,19-Feb-03,"5,000,000,000","6,147,900,000","1,147,900,000","5,000,000,000","4,632,379,654","367,620,346",21-Aug-03,182,,,,92.648,14.745,,15.915,"1,160",
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
554,05-Mar-03,"5,000,000,000","11,730,300,000","6,730,300,000","5,000,000,000","4,663,579,772","336,420,228",04-Sep-03,182,,,,93.272,13.494,,14.467,"1,286",
555,19-Mar-03,"13,000,000,000","21,345,600,000","8,345,600,000","13,000,000,000","12,092,931,580","907,068,420",18-Sep-03,182,,,,93.023,13.993,,15.043,"1,233",
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
556,02-Apr-03,"6,000,000,000","8,500,600,000","2,500,600,000","6,000,000,000","5,598,270,950","401,729,050",02-Oct-03,182,,,,93.305,13.428,,14.391,"1,293",
